age_group,gender,region,edu_level,employment,personal_income_usd,online_buy_freq,monthly_spend_usd,fav_product_types,brand_loyalty,sub_box_past,seek_features,purchase_pain,social_influence,app_usage,data_share_ok,push_notif_ok,sub_likelihood,budget_per_box,pay_freq_pref,refer_friend,value_personalized
1,Female,Asia-Pacific,Bachelor,Full-time,77155,5,41.08,"Make-up, Haircare, Tools/Accessories",3,Yes,"Vegan, Sustainable packaging, Premium/luxury","Too many options, Allergies, Delivery issues",3,4,Yes,Yes,4,25.27,Pay-per-box,2,1
6,Female,North America,High school,Self-employed,21682,2,67.12,Make-up,1,No,Cruelty-free,Allergies,2,2,Yes,No,2,23.83,Monthly,4,3
5,Female,MENA,Bachelor,Full-time,54039,2,28.33,"Fragrance, Skincare",5,No,Cruelty-free,"Hard to match shades, Unsure of quality",4,2,No,Yes,3,17.3,Monthly,4,4
2,Male,North America,Master,Part-time,17190,5,119.38,Skincare,5,No,Sustainable packaging,Delivery issues,3,4,Yes,Yes,3,45.18,Quarterly,3,3
2,Female,MENA,Bachelor,Student,21246,5,72.69,Make-up,2,No,Vegan,"Too many options, High prices",3,3,Yes,No,3,41.95,Monthly,4,1
2,Female,Africa,High school,Unemployed / Other,11516,5,37.75,"Skincare, Haircare",3,No,"Vegan, Sustainable packaging","Too many options, Unsure of quality",4,3,Yes,Yes,4,17.53,Monthly,3,2
3,Female,Europe,Bachelor,Unemployed / Other,14269,4,72.19,"Tools/Accessories, Skincare, Men’s Grooming",4,No,"Fragrance-free, Cruelty-free","Allergies, Too many options",2,2,Yes,Yes,3,45.21,Monthly,2,4
3,Female,North America,Master,Self-employed,23130,5,110.35,"Skincare, Make-up",4,Yes,"Premium/luxury, Vegan","Unsure of quality, Delivery issues",4,3,Yes,No,3,55.82,Monthly,4,4
3,Female,North America,Master,Self-employed,38252,5,58.33,"Tools/Accessories, Men’s Grooming, Haircare",5,Yes,"Cruelty-free, Premium/luxury, Vegan","Allergies, High prices, Hard to match shades",4,3,Yes,Yes,4,25.54,Monthly,5,4
3,Female,Europe,High school,Full-time,19377,5,116.85,"Haircare, Fragrance, Tools/Accessories",2,Yes,"Cruelty-free, Vegan","Delivery issues, Unsure of quality",3,3,No,Yes,2,55.43,Monthly,2,5
4,Non-binary / Other,North America,Bachelor,Full-time,23490,5,73.44,"Skincare, Fragrance, Tools/Accessories",3,No,"Dermatologist-tested, Cruelty-free, Sustainable packaging, Vegan","Delivery issues, High prices",3,3,Yes,No,4,42.88,Monthly,4,3
2,Female,North America,High school,Full-time,16174,5,46.35,Fragrance,1,Yes,"Fragrance-free, Sustainable packaging","Allergies, Hard to match shades, Delivery issues",2,4,No,Yes,3,41.44,Pay-per-box,3,2
3,Female,Asia-Pacific,High school,Full-time,84290,4,153.64,"Haircare, Skincare, Make-up",3,No,"Dermatologist-tested, Fragrance-free","Hard to match shades, High prices",3,2,Yes,No,3,91.15,Monthly,3,5
3,Male,MENA,Master,Full-time,25526,4,30.52,Men’s Grooming,1,No,"Sustainable packaging, Fragrance-free, Dermatologist-tested","Allergies, Unsure of quality",4,2,No,No,3,19.37,Monthly,5,3
3,Female,Europe,High school,Part-time,10418,5,51.22,"Men’s Grooming, Fragrance",5,No,"Fragrance-free, Vegan, Dermatologist-tested",Delivery issues,4,2,No,Yes,3,35.04,Monthly,4,4
4,Female,Africa,High school,Full-time,50150,5,60.01,Make-up,4,No,"Vegan, Fragrance-free, Dermatologist-tested","Hard to match shades, Too many options, Delivery issues",3,4,Yes,Yes,3,32.21,Monthly,4,5
2,Female,North America,<High school,Student,14213,5,140.98,"Tools/Accessories, Make-up",5,Yes,"Fragrance-free, Vegan","Unsure of quality, Allergies, Hard to match shades",3,4,Yes,No,3,59.75,Pay-per-box,3,4
3,Female,Africa,Master,Full-time,31601,4,78.53,"Skincare, Tools/Accessories",1,No,"Fragrance-free, Sustainable packaging","Allergies, High prices, Hard to match shades",4,2,Yes,Yes,3,34.9,Quarterly,2,1
3,Prefer not to say,Europe,Master,Full-time,11672,4,70.95,Tools/Accessories,2,Yes,Cruelty-free,Unsure of quality,3,3,Yes,Yes,3,33.08,Quarterly,4,5
1,Female,LATAM,Bachelor,Part-time,107705,5,48.31,Haircare,3,Yes,Dermatologist-tested,"Unsure of quality, High prices",4,4,No,Yes,4,19.74,Pay-per-box,3,1
4,Male,Asia-Pacific,Master,Student,36985,3,47.35,"Make-up, Fragrance, Skincare",3,No,"Fragrance-free, Cruelty-free, Premium/luxury, Sustainable packaging",Hard to match shades,4,2,No,Yes,2,22.8,Pay-per-box,2,4
2,Female,LATAM,High school,Student,24022,5,47.15,Haircare,5,No,"Sustainable packaging, Premium/luxury, Cruelty-free","Delivery issues, Unsure of quality, High prices",3,4,Yes,Yes,4,20.73,Monthly,4,3
2,Female,Africa,Bachelor,Student,12057,5,74.76,Skincare,3,Yes,"Sustainable packaging, Vegan, Dermatologist-tested, Fragrance-free","Allergies, Hard to match shades",3,3,Yes,Yes,3,47.53,Monthly,1,4
5,Female,Europe,Bachelor,Full-time,27448,0,76.68,"Make-up, Tools/Accessories",2,No,"Dermatologist-tested, Fragrance-free, Premium/luxury","Delivery issues, Unsure of quality",3,1,No,Yes,1,27.9,Monthly,3,4
6,Female,Africa,High school,Part-time,9752,0,705.3068712266958,Skincare,1,No,"Premium/luxury, Sustainable packaging, Cruelty-free, Fragrance-free","Delivery issues, Allergies",4,1,Yes,Yes,2,300.0,Monthly,5,4
5,Female,Europe,Bachelor,Full-time,21352,3,39.05,Make-up,1,No,"Sustainable packaging, Cruelty-free, Dermatologist-tested, Vegan","Too many options, Unsure of quality",4,2,Yes,No,4,27.81,Quarterly,1,5
3,Male,Europe,Master,Full-time,36853,5,35.81,Make-up,4,No,"Dermatologist-tested, Sustainable packaging, Cruelty-free","Delivery issues, Hard to match shades",4,4,Yes,Yes,4,20.8,Monthly,4,5
2,Female,Europe,<High school,Full-time,29524,5,52.52,Tools/Accessories,3,No,"Premium/luxury, Cruelty-free, Fragrance-free, Vegan","Delivery issues, Unsure of quality, Hard to match shades",4,2,No,Yes,3,30.13,Quarterly,5,2
4,Non-binary / Other,MENA,High school,Full-time,26633,2,79.72,"Skincare, Haircare",4,No,Vegan,High prices,2,2,No,Yes,2,41.77,Monthly,2,5
3,Female,North America,High school,Full-time,13529,5,41.71,Tools/Accessories,4,No,Sustainable packaging,"Too many options, Allergies, Unsure of quality",3,3,Yes,No,4,22.55,Monthly,3,2
2,Male,Asia-Pacific,High school,Unemployed / Other,27376,4,54.78,Skincare,2,No,"Premium/luxury, Dermatologist-tested, Sustainable packaging","Allergies, Delivery issues",4,2,Yes,Yes,3,27.53,Monthly,4,2
3,Male,MENA,Master,Unemployed / Other,22240,5,76.93,"Fragrance, Haircare",2,Yes,"Fragrance-free, Cruelty-free","Delivery issues, High prices, Too many options",3,3,Yes,No,3,52.93,Quarterly,4,5
1,Male,Asia-Pacific,Bachelor,Full-time,4832,5,48.61,Men’s Grooming,4,No,"Sustainable packaging, Premium/luxury, Vegan",High prices,4,2,Yes,Yes,3,20.17,Quarterly,4,4
5,Male,LATAM,Bachelor,Full-time,35833,3,56.47,"Make-up, Men’s Grooming, Haircare",4,Yes,"Vegan, Fragrance-free, Premium/luxury",High prices,2,3,No,Yes,2,37.56,Pay-per-box,3,3
3,Male,Europe,Master,Full-time,21761,3,30.75,"Tools/Accessories, Make-up",3,No,Sustainable packaging,"Too many options, High prices, Hard to match shades",4,2,Yes,Yes,3,15.79,Quarterly,2,4
4,Female,Europe,High school,Full-time,241100,3,105.95,Fragrance,1,No,"Dermatologist-tested, Cruelty-free","Hard to match shades, Delivery issues, Allergies",3,2,Yes,Yes,3,59.71,Monthly,2,3
3,Female,Europe,Bachelor,Unemployed / Other,12738,5,53.3,Tools/Accessories,1,No,"Fragrance-free, Dermatologist-tested","Allergies, Too many options",4,3,Yes,Yes,3,27.88,Monthly,4,4
3,Female,North America,Bachelor,Full-time,4499,5,64.05,"Tools/Accessories, Make-up",3,Yes,"Premium/luxury, Dermatologist-tested, Sustainable packaging, Cruelty-free",Too many options,4,4,Yes,Yes,4,44.87,Quarterly,3,4
3,Male,North America,Bachelor,Student,25324,4,26.8,Men’s Grooming,1,No,"Sustainable packaging, Fragrance-free, Vegan, Cruelty-free","Unsure of quality, High prices, Too many options",4,3,No,Yes,3,9.64,Quarterly,5,5
2,Female,Europe,Doctorate+,Full-time,22935,5,38.98,"Haircare, Make-up",2,Yes,"Vegan, Dermatologist-tested, Cruelty-free","Delivery issues, Allergies",4,3,Yes,Yes,3,30.84,Monthly,4,1
6,Male,Europe,Master,Unemployed / Other,7566,2,77.2,"Tools/Accessories, Haircare",3,No,"Dermatologist-tested, Premium/luxury, Cruelty-free, Fragrance-free","High prices, Unsure of quality",2,2,Yes,Yes,3,37.87,Monthly,1,3
4,Female,Africa,Bachelor,Full-time,16204,4,43.91,"Men’s Grooming, Skincare",2,No,"Premium/luxury, Vegan, Sustainable packaging","Too many options, Allergies, Hard to match shades",4,3,No,Yes,3,25.05,Monthly,3,2
5,Female,Asia-Pacific,Master,Student,96078,2,30.16,Haircare,2,No,"Premium/luxury, Fragrance-free",Allergies,4,3,Yes,Yes,3,20.68,Monthly,3,2
5,Female,Europe,High school,Full-time,20795,2,19.28,"Men’s Grooming, Make-up, Haircare",5,No,"Cruelty-free, Premium/luxury, Sustainable packaging, Fragrance-free",Unsure of quality,2,2,Yes,Yes,4,15.5,Pay-per-box,4,5
3,Female,Asia-Pacific,<High school,Student,31744,5,104.47,"Fragrance, Skincare",4,No,Vegan,Too many options,4,4,Yes,Yes,3,56.74,Quarterly,5,5
5,Female,North America,High school,Full-time,17500,2,66.1,"Tools/Accessories, Men’s Grooming",5,No,"Dermatologist-tested, Sustainable packaging, Vegan","Unsure of quality, Allergies",3,2,Yes,No,3,26.26,Monthly,1,5
2,Female,Europe,Bachelor,Full-time,6970,5,78.04,Men’s Grooming,3,No,Fragrance-free,Hard to match shades,4,4,No,Yes,3,32.6,Monthly,3,4
2,Female,Asia-Pacific,Bachelor,Unemployed / Other,18206,5,125.1,"Skincare, Make-up",4,Yes,"Fragrance-free, Premium/luxury, Vegan, Sustainable packaging","Hard to match shades, Too many options",4,4,Yes,Yes,4,69.18,Quarterly,3,5
1,Female,MENA,Bachelor,Unemployed / Other,13501,5,51.39,"Men’s Grooming, Make-up",2,Yes,"Dermatologist-tested, Fragrance-free","Too many options, Allergies, High prices",3,4,Yes,Yes,4,32.09,Quarterly,2,2
3,Female,Europe,Master,Self-employed,18034,5,34.99,"Men’s Grooming, Make-up",4,Yes,"Vegan, Cruelty-free, Premium/luxury","Too many options, Delivery issues",4,3,No,No,3,20.76,Monthly,4,2
3,Female,Africa,Bachelor,Student,20799,5,60.97,Men’s Grooming,2,Yes,"Sustainable packaging, Dermatologist-tested, Vegan, Fragrance-free",Hard to match shades,3,4,Yes,Yes,3,32.91,Quarterly,4,3
3,Male,LATAM,Bachelor,Self-employed,25137,2,123.16,"Fragrance, Tools/Accessories",1,No,"Dermatologist-tested, Cruelty-free",Unsure of quality,1,1,No,Yes,3,56.37,Quarterly,3,5
5,Female,Asia-Pacific,High school,Full-time,22477,2,46.6,"Haircare, Tools/Accessories, Men’s Grooming",5,No,"Cruelty-free, Fragrance-free, Premium/luxury, Sustainable packaging","Allergies, Unsure of quality, Hard to match shades",2,3,Yes,Yes,4,31.33,Monthly,4,4
3,Female,Asia-Pacific,<High school,Full-time,11707,5,99.56,Make-up,4,Yes,"Dermatologist-tested, Sustainable packaging, Vegan","Allergies, Unsure of quality",4,4,Yes,Yes,3,65.27,Pay-per-box,3,4
3,Female,Asia-Pacific,Bachelor,Full-time,28087,5,35.85,"Haircare, Fragrance, Men’s Grooming",5,No,Cruelty-free,Too many options,4,4,Yes,Yes,4,23.24,Monthly,3,3
3,Female,North America,Bachelor,Student,8310,4,38.02,Men’s Grooming,3,No,"Dermatologist-tested, Premium/luxury",High prices,4,3,Yes,Yes,4,264.2192391509934,Monthly,3,4
2,Female,Europe,Master,Full-time,7111,5,89.44,"Men’s Grooming, Haircare",3,Yes,"Premium/luxury, Dermatologist-tested","Allergies, Too many options, Unsure of quality",4,3,Yes,Yes,4,43.46,Monthly,4,5
5,Female,North America,High school,Full-time,35062,1,44.99,Tools/Accessories,3,No,"Cruelty-free, Sustainable packaging, Dermatologist-tested, Premium/luxury","Unsure of quality, Hard to match shades, Too many options",2,1,Yes,Yes,3,23.07,Monthly,3,3
2,Female,MENA,<High school,Part-time,25543,5,57.24,Skincare,4,No,"Vegan, Fragrance-free, Sustainable packaging, Premium/luxury","Hard to match shades, Too many options, Allergies",3,2,Yes,Yes,5,32.85,Monthly,2,4
6,Female,MENA,Bachelor,Self-employed,17122,2,84.14,"Fragrance, Skincare",4,No,"Vegan, Sustainable packaging",Unsure of quality,3,2,Yes,No,3,50.5,Quarterly,1,3
4,Female,North America,High school,Full-time,13155,2,74.15,"Men’s Grooming, Fragrance",5,No,"Cruelty-free, Dermatologist-tested, Vegan, Premium/luxury",Hard to match shades,3,1,Yes,No,3,40.34,Monthly,2,5
2,Male,Africa,<High school,Full-time,13914,5,64.71,Skincare,1,No,"Fragrance-free, Dermatologist-tested","Unsure of quality, Hard to match shades, Too many options",4,2,Yes,Yes,4,43.23,Pay-per-box,1,4
1,Male,Africa,Master,Full-time,13520,5,27.69,"Tools/Accessories, Haircare, Men’s Grooming",4,Yes,Sustainable packaging,"Too many options, High prices, Hard to match shades",4,4,Yes,No,4,20.54,Quarterly,3,3
5,Female,Asia-Pacific,High school,Full-time,10909,1,39.35,Fragrance,3,No,Vegan,"High prices, Unsure of quality",2,2,Yes,Yes,2,22.18,Monthly,3,4
4,Female,MENA,Bachelor,Full-time,18266,4,67.13,"Skincare, Men’s Grooming",2,No,"Dermatologist-tested, Cruelty-free","Unsure of quality, Too many options, High prices",3,2,Yes,No,3,30.79,Monthly,3,2
4,Female,LATAM,High school,Student,36625,1,12.54,Haircare,4,No,"Premium/luxury, Fragrance-free",Allergies,3,1,No,Yes,3,11.44,Monthly,3,5
4,Female,North America,High school,Student,53958,2,57.79,"Men’s Grooming, Haircare, Skincare",4,No,Dermatologist-tested,Too many options,1,2,Yes,Yes,4,31.89,Monthly,4,5
2,Prefer not to say,Asia-Pacific,Bachelor,Student,16073,5,101.36,"Tools/Accessories, Skincare, Fragrance",2,Yes,"Dermatologist-tested, Cruelty-free","Allergies, Unsure of quality, High prices",4,3,Yes,No,3,45.17,Monthly,4,4
3,Female,North America,Master,Full-time,32152,5,60.37,"Skincare, Fragrance, Tools/Accessories",2,Yes,"Sustainable packaging, Fragrance-free, Cruelty-free",Hard to match shades,4,4,Yes,No,4,34.22,Monthly,4,3
2,Female,Asia-Pacific,Bachelor,Self-employed,7612,5,39.17,"Skincare, Fragrance",3,Yes,Vegan,Too many options,4,4,Yes,Yes,3,23.84,Monthly,1,4
5,Female,Europe,Master,Full-time,33692,4,24.11,"Make-up, Skincare, Haircare",3,No,"Sustainable packaging, Dermatologist-tested","Unsure of quality, Delivery issues, Too many options",4,3,No,Yes,3,21.35,Monthly,1,4
4,Male,LATAM,High school,Full-time,17682,5,71.63,"Haircare, Skincare",3,Yes,"Dermatologist-tested, Fragrance-free","Delivery issues, Allergies",4,3,Yes,No,3,43.95,Monthly,3,3
3,Female,Africa,Master,Self-employed,25685,5,32.85,"Make-up, Haircare",2,No,"Premium/luxury, Dermatologist-tested, Cruelty-free, Vegan",Delivery issues,4,4,Yes,Yes,3,18.65,Pay-per-box,3,1
2,Female,North America,High school,Full-time,17514,5,78.26,"Tools/Accessories, Men’s Grooming",1,Yes,"Fragrance-free, Premium/luxury","Too many options, Delivery issues, Unsure of quality",4,4,Yes,No,4,32.6,Monthly,1,5
3,Female,MENA,Bachelor,Full-time,42625,5,135.47,"Make-up, Tools/Accessories, Fragrance",5,No,"Cruelty-free, Sustainable packaging, Dermatologist-tested, Vegan","Unsure of quality, Allergies, High prices",1,3,No,No,3,49.77,Monthly,3,5
3,Female,Africa,Bachelor,Self-employed,14225,3,34.05,Haircare,5,No,Dermatologist-tested,Unsure of quality,4,2,Yes,No,3,20.43,Monthly,5,5
4,Female,MENA,Master,Full-time,36175,2,40.02,Tools/Accessories,3,No,"Vegan, Dermatologist-tested, Sustainable packaging",Too many options,4,2,Yes,Yes,3,20.33,Monthly,2,4
4,Female,LATAM,Bachelor,Student,22984,5,138.61,"Fragrance, Haircare, Skincare",5,No,"Cruelty-free, Fragrance-free, Sustainable packaging, Vegan",Too many options,3,4,Yes,Yes,4,50.08,Quarterly,5,5
5,Female,Asia-Pacific,High school,Full-time,22385,1,43.08,Tools/Accessories,4,No,Dermatologist-tested,"Unsure of quality, Allergies, High prices",1,2,Yes,Yes,3,25.13,Monthly,5,4
3,Female,Europe,<High school,Student,20091,4,44.29,"Fragrance, Haircare, Tools/Accessories",1,No,Fragrance-free,"Allergies, Delivery issues",4,2,Yes,No,2,24.15,Monthly,5,4
2,Female,Europe,Master,Full-time,12988,3,84.03,Fragrance,2,No,Vegan,Allergies,4,1,Yes,Yes,3,29.85,Monthly,5,5
4,Female,North America,Bachelor,Full-time,26246,2,35.68,"Skincare, Make-up, Haircare",5,No,"Vegan, Sustainable packaging","Too many options, Unsure of quality, Allergies",2,2,Yes,Yes,2,21.6,Monthly,2,5
4,Female,Asia-Pacific,Master,Student,25616,2,28.55,"Tools/Accessories, Haircare",4,No,"Cruelty-free, Premium/luxury, Sustainable packaging",Unsure of quality,3,2,Yes,No,3,17.11,Monthly,2,5
3,Female,Europe,High school,Full-time,24850,5,78.05,Skincare,5,No,Cruelty-free,"High prices, Unsure of quality",4,2,Yes,Yes,4,27.23,Monthly,2,5
4,Male,MENA,Bachelor,Full-time,27572,4,93.56,"Make-up, Skincare, Fragrance",5,Yes,"Premium/luxury, Dermatologist-tested, Fragrance-free",High prices,3,4,Yes,No,5,38.93,Monthly,2,5
3,Female,MENA,<High school,Full-time,32826,5,43.8,"Men’s Grooming, Make-up",3,No,"Sustainable packaging, Vegan, Cruelty-free, Premium/luxury","Hard to match shades, Allergies, High prices",3,3,Yes,Yes,4,22.51,Monthly,3,4
3,Female,Asia-Pacific,Doctorate+,Full-time,34952,4,61.05,"Haircare, Skincare",1,No,Dermatologist-tested,"High prices, Too many options",4,2,Yes,Yes,2,34.2,Pay-per-box,5,5
3,Female,LATAM,Bachelor,Full-time,13025,5,54.86,Fragrance,2,Yes,"Sustainable packaging, Premium/luxury","Allergies, Delivery issues, Hard to match shades",4,3,Yes,Yes,4,30.49,Monthly,3,4
1,Female,Africa,Master,Full-time,23806,5,59.21,"Make-up, Skincare, Men’s Grooming",1,Yes,"Vegan, Dermatologist-tested, Premium/luxury",Allergies,4,4,Yes,Yes,3,28.69,Monthly,3,3
2,Male,Europe,High school,Unemployed / Other,10954,5,39.47,Skincare,2,Yes,Vegan,Unsure of quality,3,3,Yes,No,3,15.51,Quarterly,4,5
1,Female,LATAM,Bachelor,Full-time,20686,5,80.68,"Fragrance, Men’s Grooming, Haircare",3,No,"Vegan, Fragrance-free, Premium/luxury, Sustainable packaging","Hard to match shades, Delivery issues",4,1,Yes,Yes,3,28.19,Quarterly,2,5
4,Male,Asia-Pacific,Bachelor,Full-time,36033,4,115.07,"Haircare, Tools/Accessories",2,Yes,Sustainable packaging,"Allergies, Delivery issues",3,3,Yes,No,3,69.53,Quarterly,3,3
3,Female,Asia-Pacific,Bachelor,Full-time,8470,5,42.24,Men’s Grooming,2,Yes,"Fragrance-free, Vegan",Too many options,4,3,Yes,No,4,21.9,Quarterly,3,5
3,Female,Africa,Master,Full-time,23074,5,80.77,"Men’s Grooming, Make-up, Fragrance",3,No,Vegan,"Delivery issues, Unsure of quality, Hard to match shades",4,3,No,Yes,2,44.64,Monthly,5,3
5,Male,North America,Master,Unemployed / Other,19169,3,83.25,"Haircare, Tools/Accessories, Men’s Grooming",3,No,"Dermatologist-tested, Sustainable packaging, Vegan","High prices, Too many options, Unsure of quality",3,2,No,No,3,35.17,Monthly,4,5
2,Male,North America,Master,Full-time,13565,5,64.77,"Make-up, Tools/Accessories",3,No,"Fragrance-free, Cruelty-free","Hard to match shades, Allergies, Too many options",4,2,No,Yes,3,256.52726328617706,Quarterly,4,4
3,Male,LATAM,Master,Unemployed / Other,43279,5,80.15,Skincare,3,No,"Premium/luxury, Sustainable packaging, Dermatologist-tested, Vegan",Delivery issues,3,4,Yes,No,4,32.07,Pay-per-box,2,4
4,Male,Europe,High school,Full-time,19062,3,34.55,"Make-up, Men’s Grooming, Skincare",4,No,"Sustainable packaging, Vegan, Dermatologist-tested","Unsure of quality, Too many options",2,1,Yes,Yes,3,17.48,Monthly,5,5
2,Female,LATAM,High school,Student,13246,5,115.43,"Haircare, Fragrance, Men’s Grooming",5,Yes,Fragrance-free,"Unsure of quality, High prices, Delivery issues",3,3,Yes,No,4,47.48,Monthly,3,5
2,Male,LATAM,Doctorate+,Part-time,20588,5,98.59,Tools/Accessories,2,Yes,"Sustainable packaging, Fragrance-free, Vegan",Unsure of quality,4,3,No,Yes,3,50.58,Quarterly,4,5
3,Female,North America,<High school,Self-employed,31032,5,104.82,"Skincare, Haircare",1,No,Vegan,Too many options,4,4,Yes,No,4,53.41,Monthly,5,5
2,Male,LATAM,Master,Part-time,18468,5,37.69,"Tools/Accessories, Men’s Grooming, Skincare",5,Yes,"Premium/luxury, Sustainable packaging, Fragrance-free","Delivery issues, Too many options, High prices",4,4,Yes,Yes,4,19.33,Pay-per-box,4,2
5,Female,Europe,Master,Part-time,43412,1,55.46,"Men’s Grooming, Make-up",4,No,"Sustainable packaging, Premium/luxury, Cruelty-free, Dermatologist-tested","Too many options, Hard to match shades, Delivery issues",3,2,Yes,Yes,3,19.82,Monthly,4,2
5,Male,MENA,Bachelor,Full-time,31596,1,26.4,Tools/Accessories,4,No,"Sustainable packaging, Cruelty-free, Dermatologist-tested, Premium/luxury",Delivery issues,4,2,Yes,Yes,3,19.59,Quarterly,2,5
4,Female,Asia-Pacific,Doctorate+,Full-time,8894,5,120.39,"Men’s Grooming, Haircare",2,No,"Dermatologist-tested, Fragrance-free",Delivery issues,3,3,Yes,Yes,3,71.46,Monthly,3,5
5,Female,Africa,Bachelor,Unemployed / Other,18593,2,28.07,"Men’s Grooming, Skincare",5,No,Sustainable packaging,"Unsure of quality, Hard to match shades, Delivery issues",2,3,Yes,Yes,4,18.72,Monthly,5,3
5,Female,North America,Bachelor,Full-time,18295,3,56.19,Men’s Grooming,5,Yes,"Premium/luxury, Sustainable packaging, Dermatologist-tested, Vegan",Unsure of quality,3,3,Yes,No,4,35.46,Monthly,2,1
2,Male,MENA,High school,Full-time,25192,5,30.21,"Men’s Grooming, Skincare, Tools/Accessories",4,No,"Sustainable packaging, Cruelty-free, Premium/luxury, Fragrance-free","Hard to match shades, Unsure of quality, High prices",4,3,Yes,Yes,3,21.72,Monthly,5,3
5,Female,Asia-Pacific,Bachelor,Student,6521,4,60.45,"Haircare, Fragrance, Men’s Grooming",2,No,Premium/luxury,"Hard to match shades, Too many options",4,3,Yes,No,3,33.5,Monthly,4,4
3,Female,Asia-Pacific,High school,Full-time,78787,5,40.84,Make-up,5,Yes,"Cruelty-free, Fragrance-free, Premium/luxury, Dermatologist-tested","Unsure of quality, Too many options, Allergies",4,3,No,No,4,20.74,Quarterly,3,5
5,Female,Asia-Pacific,Bachelor,Unemployed / Other,31597,2,61.66,"Tools/Accessories, Men’s Grooming, Make-up",4,No,Dermatologist-tested,"Allergies, Hard to match shades, High prices",4,2,No,Yes,3,41.84,Monthly,4,1
5,Female,North America,Master,Student,26101,3,46.21,Fragrance,4,No,"Dermatologist-tested, Premium/luxury, Vegan, Cruelty-free",Unsure of quality,4,3,Yes,Yes,2,31.3,Monthly,2,3
3,Male,Europe,Master,Part-time,39766,5,51.95,Make-up,1,No,"Vegan, Fragrance-free","Unsure of quality, Hard to match shades, Too many options",2,3,Yes,No,3,20.99,Monthly,3,5
2,Female,Europe,High school,Self-employed,63989,5,124.75,"Make-up, Haircare, Skincare",4,No,Sustainable packaging,"Too many options, Hard to match shades, Delivery issues",4,3,Yes,Yes,3,70.88,Quarterly,3,3
2,Non-binary / Other,LATAM,Bachelor,Full-time,30638,4,156.89,"Tools/Accessories, Skincare",2,No,"Premium/luxury, Sustainable packaging, Fragrance-free, Vegan","Delivery issues, Too many options, Hard to match shades",4,2,Yes,Yes,3,74.43,Monthly,3,5
3,Female,Europe,Master,Full-time,35397,4,30.45,"Skincare, Make-up, Fragrance",2,No,"Dermatologist-tested, Premium/luxury, Sustainable packaging",Hard to match shades,4,2,Yes,Yes,3,14.84,Pay-per-box,5,4
5,Female,North America,High school,Full-time,25865,4,46.92,Men’s Grooming,4,Yes,"Cruelty-free, Vegan",Too many options,4,3,No,No,3,27.2,Quarterly,3,4
5,Male,Africa,High school,Full-time,22573,1,66.95,Skincare,3,No,"Sustainable packaging, Cruelty-free","Unsure of quality, Too many options, Allergies",3,1,No,Yes,2,42.64,Quarterly,4,2
1,Female,North America,High school,Student,12154,5,69.9,"Make-up, Haircare",4,No,"Sustainable packaging, Cruelty-free","Too many options, Hard to match shades, Allergies",3,4,Yes,Yes,3,25.74,Monthly,2,3
